id,p_sour,p_name,c_numb,colors
1,zhihu,nameless,2,"#000080, #B22222"
2,zhihu,nameless,2,"#ACD6EC, #F5A889"
3,zhihu,nameless,2,"#148F28, #EA71AE"
4,zhihu,nameless,2,"#91CAE8, #F48892"
5,zhihu,nameless,2,"#BDB9B8, #DFEBD5"
6,zhihu,nameless,2,"#BEBAB9, #C47070"
7,zhihu,nameless,2,"#629433, #FEFF99"
8,zhihu,nameless,2,"#BFBBBA, #CFDAEC"
9,zhihu,nameless,2,"#050507, #1399B2"
10,zhihu,nameless,2,"#BEBAB9, #DBB8B2"
11,zhihu,nameless,2,"#8E7FB8, #A2C9AE"
12,zhihu,nameless,2,"#6888F5, #D77071"
13,zhihu,nameless,3,"#000000, #2C939A, #A6A3A4"
14,zhihu,nameless,3,"#9ACE87, #D2D2D2, #EE634B"
15,zhihu,nameless,3,"#38C1F3, #8048AA, #FF0000"
16,zhihu,nameless,3,"#009E73, #B02226, #F0A12C"
17,zhihu,nameless,3,"#A9CA70, #C5D6F0, #F18C54"
18,zhihu,nameless,3,"#0E986F, #796CAD, #D65813"
19,zhihu,nameless,3,"#377EB9, #4DAE48, #974F9F"
20,zhihu,nameless,3,"#D0DD97, #DDDDDD, #E6B745"
21,zhihu,nameless,3,"#5BB5AC, #D8B365, #DE526C"
22,zhihu,nameless,3,"#7EA6D9, #D4E6BC, #F8F2A4"
23,zhihu,nameless,3,"#2B5863, #6A8078, #9D9D9D"
24,zhihu,nameless,3,"#23BAC5, #EECA40, #FD763F"
25,zhihu,nameless,3,"#00A14E, #688CC8, #ECE70F"
26,zhihu,nameless,3,"#91BFFA, #F2F2F2, #FFFEDF"
27,zhihu,nameless,3,"#43A3EF, #EF767B, #F9E7A7"
28,zhihu,nameless,3,"#1C3C63, #93C8C0, #D3D5D4"
29,zhihu,nameless,3,"#7998AD, #F07673, #FFF1CF"
30,zhihu,nameless,3,"#8583A9, #A0BDD5, #CA8BA8"
31,zhihu,nameless,3,"#85D0FF, #C2C48D, #FFDC8E"
32,zhihu,nameless,3,"#E0EBEB, #F7BDA9, #FBDED4"
33,zhihu,nameless,3,"#000000, #81B8DA, #EFC57F"
34,zhihu,nameless,3,"#4370B4, #549F9A, #C30078"
35,zhihu,nameless,3,"#2472A3, #A5B55D, #F4F3EE"
36,zhihu,nameless,3,"#94B5D8, #ACD2C7, #D57B70"
37,zhihu,nameless,3,"#4C4D4F, #97A9B7, #A5CCC7"
38,zhihu,nameless,3,"#688660, #9A5747, #F5F6BA"
39,zhihu,nameless,3,"#5CB3BA, #F3D707, #FF5E00"
40,zhihu,nameless,3,"#262626, #293890, #BF1D2D"
41,zhihu,nameless,3,"#040676, #397FC7, #F1B656"
42,zhihu,nameless,3,"#6D65A3, #6F6F6F, #F6631C"
43,zhihu,nameless,3,"#9998FF, #C99BFF, #FF9A9B"
44,zhihu,nameless,3,"#2C91E0, #3ABF99, #F0A73A"
